#	Mid_a	Mid_r	Top_a	Top_r	Bottom_a	Bottom_r	Midtop_a	Midtop_r	Midbottom_a	Midbottom_r	Date_obs
      31.1785829122350364       2.4094744259307919      46.1633145445059085       1.9456362749727456      16.1938512799641678       2.2057281794089127      38.6709487283704760       2.2406727778074380      23.6862170960996039       2.4527260983993333	2008-12-12T06:05:00.005
      30.3461180102089685       2.5141565402004336      44.9614230726044468       1.9702674693712741      15.7308129478134919       2.3804542648684888      37.6537705414067077       2.3506320664912397      23.0384654790112293       2.5666622646391763	2008-12-12T06:15:00.005
      29.8006057186724327       2.6147438524705380      45.1833503783114523       1.9684878273831565      14.4178610590334113       2.2897611731623608      37.4919780484919443       2.4125591513059224      22.1092333888529211       2.6587818697293009	2008-12-12T06:25:00.006
      27.3438067170759140       2.7607799910119133      43.6106170031427709       2.0255273051577487      11.0769964310090572       2.3130356165586683      35.4772118601093425       2.5755974968740718      19.2104015740424856       2.7439537585588152	2008-12-12T06:35:00.005
      26.4927601242411264       2.9076037863298345      43.0910983412566182       2.1087946253921435       9.8944219072256328       2.4186718778405978      34.7919292327488705       2.6969228388264868      18.1935910157333787       2.8915897340788708	2008-12-12T06:45:00.005
      25.4164989567205559       3.0931212437718556      42.3134001740787724       2.1605495207563510       8.5195977393623377       2.4254720247679313      33.8649495653996624       2.8655216229072589      16.9680483480414459       3.0552489541320709	2008-12-12T06:55:00.007
      24.2393669311299220       3.4078623224109719      40.8593694615771454       2.1788237120172660       7.6193644006826950       2.5195489566452558      32.5493681963535337       3.0668966504263149      15.9293656659063085       3.3155744150760365	2008-12-12T07:05:00.007
      23.4809657442090547       3.6302502348205183      40.2685110721244186       2.2199177458041479       6.6934204162936899       2.2592689490357438      31.8747384081667349       3.1912504477457233      15.0871930802513727       3.4690878248494186	2008-12-12T07:15:00.007
      21.1393516872446341       4.1168853943635844      39.0166892070237878       2.3136744500463622       3.2620141674654795       2.4919796249226800      30.0780204471342110       3.5666040826459477      12.2006829273550572       3.7771746847838839	2008-12-12T07:35:00.005
      13.5378016642048138       5.2437378817273199      28.0178302483372619       3.9188400539179034     359.0577730800723657       3.7533954272017067      20.7778159562710378       5.1722619542299650       6.2977873721385897       4.8322295452853741	2008-12-12T08:22:00.005
